phase,mode,area,feature,expected_tf2,current_addon,target_status,proof
A,cp,hud,controlpointicon.res-driven layout,RES controls icon/overlay/capper offsets,Implemented with RES + fallback,IN_PROGRESS,
A,cp,hud,controlpointprogressbar.res-driven bubble,RES controls bubble/progress/blocked/text bounds,Implemented with RES + fallback,IN_PROGRESS,
A,cp,hud,circular capture progress animation,Clockwise animated radial progress while capturing,Implemented via tf_draw.CircularProgressBar,IN_PROGRESS,
A,cp,mechanics,required cappers per team_numcap_*,Capture waits if required cappers not met,Implemented from trigger properties,IN_PROGRESS,
A,cp,mechanics,blocked/revert message logic,Message states follow objective state ordering,Partially aligned,IN_PROGRESS,
A,cp,audio,contest warning audience routing,Defenders hear owned-point warning,attackers do not,Implemented with team-targeted routing,IN_PROGRESS,
A,koth,hud,hudobjectivekothtimepanel.res timers,Active/inactive timer panel follows RES layout,Implemented in hud_roundtimer,IN_PROGRESS,
A,koth,mechanics,active team clock switching,Owner team clock runs, other paused,Implemented in tf_logic_koth,IN_PROGRESS,
A,koth,mechanics,point lock/unlock timing,unlock_point respected and reflected in HUD state,Partially implemented,IN_PROGRESS,
A,koth,audio,setup/round/overtime VO transitions,VO lines match timer state transitions,Partially implemented,IN_PROGRESS,
B,ctf,hud,hudobjectiveflagpanel.res parity,Flag panel visuals and compass behavior match TF2,Not validated,TODO,
B,ctf,mechanics,flag state machine parity,Pickup/drop/return/capture timing and rules match TF2,Not validated,TODO,
C,payload,hud,objectivestatusescort*.res parity,Escort HUD matches payload/plr states,Partially implemented,TODO,
C,payload,mechanics,push/block/recede parity,Cart movement logic mirrors TF2 team/capper rules,Partially implemented,TODO,
D,mvm,hud,wavestatuspanel/hudmannvsmachinestatus parity,MvM wave and mission HUD state parity,Partially implemented,TODO,
D,mvm,mechanics,bomb/wave runtime parity,Bomb carrier/wave progression logic parity,Partially implemented,TODO,
E,arena,hud+mechanics,arena objective parity,Playercount/cap countdown and flow parity,Not validated,TODO,
E,passtime,hud+mechanics,passtime objective parity,Ball status/HUD/rules parity,Not validated,TODO,
E,pd,hud+mechanics,player destruction parity,Objective HUD and score flow parity,Not validated,TODO,
E,rd,hud+mechanics,robot destruction parity,Objective/status HUD and score flow parity,Not validated,TODO,
